PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
o50,"O'Flaherty, Eric",23,L,2008,SEA-min,15,0,1,0,1,0,2,18.1,24,9,9,9,0,21,4.42,8,2,1,0,0,2,2.33,11.8,10.3,4.4,0.5,16.41,,,,,,,
o50,"O'Flaherty, Eric",23,L,2008,SEA,7,0,0,1,0,0,0,6.2,16,15,15,4,2,4,20.25,1,0,2,2,0,0,1,21.6,5.4,5.4,2.7,31.94,-12,-1,-0.2,-1.2,-11,0.352,0.494
o50,"O'Flaherty, Eric",24,L,2009,ATL,78,0,2,1,0.667,0,0,56.1,52,23,19,18,4,39,3.04,8,0,2,6,0,2,2.17,8.3,6.2,2.9,0.3,12.19,4,0.4,-0.1,0.8,9,0.505,0.503
o50,"O'Flaherty, Eric",25,L,2010,ATL-min,3,0,0,0,,0,0,4,1,0,0,1,0,5,0,0,0,0,0,0,0,5,2.2,11.2,2.2,0,4.5,,,,,,,
o50,"O'Flaherty, Eric",25,L,2010,ATL,56,0,3,2,0.6,0,0,44,37,14,12,18,2,36,2.45,7,0,2,1,0,3,2,7.6,7.4,3.7,0.4,11.45,5,0.5,0,0.9,9,0.51,0.503
o50,"O'Flaherty, Eric",26,L,2011,ATL,78,0,2,4,0.333,0,0,73.2,59,9,8,21,8,67,0.98,5,0,2,3,0,1,3.19,7.2,8.2,2.6,0.2,10.2,21,2.3,0.3,3.3,27,0.53,0.514
o50,"O'Flaherty, Eric",27,L,2012,ATL,64,0,3,0,1,0,0,57.1,47,14,11,19,2,46,1.73,7,0,3,2,0,1,2.42,7.4,7.2,3,0.5,10.72,8,0.9,0.1,1.5,13,0.514,0.505
o50,"O'Flaherty, Eric",28,L,2013,ATL,19,0,3,0,1,0,0,18,12,5,5,5,1,11,2.5,2,0,2,0,0,0,2.2,6,5.5,2.5,1,8.5,2,0.2,0,0.4,4,0.513,0.502
o50,"O'Flaherty, Eric",29,L,2014,OAK-min,8,1,1,1,0.5,0,0,9.1,6,4,4,3,0,8,3.86,0,0,1,0,0,3,2.67,5.8,7.7,2.9,1,8.9,,,,,,,
o50,"O'Flaherty, Eric",29,L,2014,OAK,21,0,1,0,1,0,1,20,15,5,5,4,0,15,2.25,6,1,3,2,0,3,3.75,6.8,6.8,1.8,1.4,9.45,2,0.3,-0.1,0.4,5,0.513,0.502
