PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
k5,"Kahl, Nick",31,R,1910,GRR-min,,141,507,507,,112,13,12,3,,,,,,,,,0.221,0.221,0.312,0.533,,,,158,,,,,,,,,,,,,,
k5,"Kahl, Nick",32,R,1911,None-min,,170,326,326,,81,,,,,,,,,,,,0.248,0.248,,,,,,,,,,,,,,,,,,,,
k5,"Kahl, Nick",33,R,1912,QUI-min,,136,492,492,,130,,,,,,,,,,,,0.264,0.264,,,,,,,,,,,,,,,,,,,,
k5,"Kahl, Nick",34,R,1913,QUI-min,,134,489,489,,119,23,4,3,,,,,,,,,0.243,0.243,0.325,0.569,,,,159,,,,,,,,,,,,,,
k5,"Kahl, Nick",35,R,1914,QUI-min,,126,457,457,,125,25,4,6,,,,,,,,,0.274,0.274,0.385,0.659,,,,176,,,,,,,,,,,,,,
k5,"Kahl, Nick",36,R,1915,QUI-min,,125,450,450,,106,21,3,2,,,,,,,,,0.236,0.236,0.309,0.544,,,,139,,,,,,,,,,,,,,
k6,"Kahle, Bob",19,R,1935,TER-min,,116,423,423,,122,24,3,7,,,,,,,,,0.288,0.288,0.409,0.697,,,,173,,,,,,,,,,,,,,
k6,"Kahle, Bob",20,R,1936,None-min,,101,384,384,,127,22,4,8,,,,,,,,,0.331,0.331,0.471,0.802,,,,181,,,,,,,,,,,,,,
k6,"Kahle, Bob",21,R,1937,INA-min,,121,421,421,,129,17,6,4,,,,,,,,,0.306,0.306,0.404,0.71,,,,170,,,,,,,,,,,,,,
k6,"Kahle, Bob",22,R,1938,BSN-min,,10,38,38,,7,1,0,0,,,,,,,,,0.184,0.184,0.211,0.395,,,,8,,,,,,,,,,,,,,
k6,"Kahle, Bob",22,R,1938,BSN,,8,3,3,2,1,0,0,0,0,2,0,,0,0,,,0.333,0.333,0.333,0.667,0,,0,1,0,92,0.3333333333,,,0,0,0,0,0.5,0.5,0,0,0
k6,"Kahle, Bob",23,R,1939,NYY-min,,137,489,489,,121,24,2,6,,,,,,,,,0.247,0.247,0.342,0.589,,,,167,,,,,,,,,,,,,,
k6,"Kahle, Bob",24,R,1940,HOL-min,,171,641,641,,200,39,6,2,,,,,,,,,0.312,0.312,0.401,0.713,,,,257,,,,,,,,,,,,,,
k6,"Kahle, Bob",25,R,1941,HOL-min,,176,771,693,96,221,41,10,5,95,191,55,,43,9,,,0.319,0.369,0.429,0.798,23,,0,297,,,109.5882352941,,,,,,,,,,,
k6,"Kahle, Bob",26,R,1942,HOL-min,,161,668,634,59,167,25,2,0,62,121,18,,42,2,,,0.263,0.287,0.309,0.596,13,,3,196,,,55.6134969325,,,,,,,,,,,
k6,"Kahle, Bob",30,R,1946,PIT-min,,154,607,554,63,159,28,2,1,72,135,44,,41,5,,,0.287,0.342,0.35,0.692,7,,2,194,,,65.856187291,,,,,,,,,,,
k6,"Kahle, Bob",31,R,1947,BSN-min,,127,435,435,2,127,18,3,1,4,6,,,,0,,,0.292,0.292,0.354,0.646,,,,154,,,,,,,,,,,,,,
k8,"Kahn, Owen",25,R,1930,CHC-min,,65,211,211,,58,11,2,3,,,,,,,,,0.275,0.275,0.389,0.664,,,,82,,,,,,,,,,,,,,
k8,"Kahn, Owen",25,R,1930,BSN,,1,0,0,1,0,0,0,0,0,1,0,,0,0,,,,,,,0,,0,0,,,,,,0,0,0,0,0.5,0.5,0,0,0
k8,"Kahn, Owen",26,R,1931,NFK-min,,79,224,224,,63,10,3,5,,,,,,,,,0.281,0.281,0.42,0.701,,,,94,,,,,,,,,,,,,,
k8,"Kahn, Owen",28,R,1933,NYY-min,,33,109,109,,29,8,3,2,,,,,,,,,0.266,0.266,0.45,0.716,,,,49,,,,,,,,,,,,,,
k10,"Kahoe, Mike",21,R,1895,CIN,C,3,4,4,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,,-100,0,,,-1,-0.1,-1,-0.1,0.467,0.499,-0.1,0,-1
k10,"Kahoe, Mike",22,R,1896,None-min,,86,353,353,73,112,20,7,4,,,,,,18,,,0.317,0.317,0.448,0.765,,,,158,,,,,,,,,,,,,,
k10,"Kahoe, Mike",23,R,1897,INA-min,,88,342,335,61,101,12,12,1,,,,,,15,,,0.301,0.301,0.418,0.719,7,,,140,,,,,,,,,,,,,,
k10,"Kahoe, Mike",24,R,1898,INA-min,,106,388,377,49,94,12,11,1,,,,,,13,,,0.249,0.249,0.347,0.597,11,,,131,,,,,,,,,,,,,,
k10,"Kahoe, Mike",25,R,1899,INA-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k10,"Kahoe, Mike",25,R,1899,CIN,C,14,44,42,2,7,1,1,0,4,6,0,,4,1,,,0.167,0.167,0.238,0.405,2,,0,10,,9,1.6666666667,,,-5,-0.5,-4,-0.3,0.466,0.497,-0.3,0.1,-4
k10,"Kahoe, Mike",26,R,1900,CIN,C,52,184,175,18,33,3,3,1,9,27,4,,7,3,,,0.189,0.215,0.257,0.473,3,,2,45,,32,9.3016759777,,,-14,-1.4,-8,-0.7,0.475,0.492,-0.6,0.2,-7
k10,"Kahoe, Mike",27,R,1901,CHC,C,71,265,250,21,57,12,2,1,21,42,9,,13,5,,,0.228,0.255,0.304,0.559,6,,0,76,,64,19.3667953668,,,-7,-0.7,2,0.2,0.489,0.496,0.2,0.4,2
k10,"Kahoe, Mike",28,R,1902,SLB,C,62,228,215,21,52,10,2,2,30,51,6,,11,4,,,0.242,0.266,0.335,0.601,6,,1,72,,68,18.8959276018,,,-4,-0.4,3,0.2,0.49,0.497,0.3,0.3,3
k10,"Kahoe, Mike",29,R,1903,SLB,C,77,262,244,26,46,7,5,0,23,49,11,,17,1,,,0.189,0.227,0.258,0.485,6,,1,63,,47,14.0823529412,,,-8,-1,1,0,0.488,0.494,0,0.5,0
k10,"Kahoe, Mike",30,R,1904,SLB,C,72,252,236,9,51,6,1,0,12,21,8,,12,4,,,0.216,0.242,0.25,0.492,8,,0,59,,60,14.2663934426,,,-7,-0.9,2,0.1,0.488,0.495,0.4,0.2,4
k10,"Kahoe, Mike",31,R,1905,MNE-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k10,"Kahoe, Mike",31,R,1905,PHI,C,16,53,51,2,13,2,0,0,4,6,1,,3,1,,,0.255,0.269,0.294,0.563,1,,0,15,,70,4.0384615385,,,0,0,2,0.2,0.501,0.5,0.1,0.2,1
k10,"Kahoe, Mike",32,R,1906,INA-min,,78,288,288,,79,8,2,0,,,,,,,,,0.274,0.274,0.316,0.59,,,,91,,,,,,,,,,,,,,
k10,"Kahoe, Mike",33,R,1907,WSH,C,22,57,57,3,13,1,0,0,2,5,0,,5,0,,,0.228,0.228,0.246,0.474,0,,0,14,,54,3.1929824561,,,-2,-0.3,-2,-0.2,0.486,0.499,-0.1,0,0
k10,"Kahoe, Mike",34,R,1908,WSH,C,17,27,27,1,5,1,0,0,0,1,0,,2,0,,,0.185,0.185,0.222,0.407,0,,0,6,,38,1.1111111111,,,-1,-0.1,0,0,0.493,0.499,0,0.1,0
k10,"Kahoe, Mike",35,R,1909,WSH,C,4,8,8,0,1,0,0,0,0,0,0,,0,2,,,0.125,0.125,0.125,0.25,0,,0,1,,-20,0.125,,,0,-0.1,0,0,0.483,0.5,0,0,0
k12,"Kaiser, Al",21,R,1908,DAY-min,,5,15,15,,2,,,,,,,,,,,,0.133,0.133,,,,,,,,,,,,,,,,,,,,
k12,"Kaiser, Al",22,R,1909,None-min,,98,358,358,,92,,,,,,,,,,,,0.257,0.257,,,,,,,,,,,,,,,,,,,,
k12,"Kaiser, Al",23,R,1910,PAK-min,,111,429,429,,136,23,12,3,,,,,,,,,0.317,0.317,0.448,0.765,,,,192,,,,,,,,,,,,,,
k12,"Kaiser, Al",24,R,1911,BSN,OF,92,311,281,36,61,5,7,2,22,58,17,,38,10,,,0.217,0.267,0.306,0.573,11,,2,86,,57,22.5100671141,,,-18,-2,-13,-1.4,0.468,0.487,-0.9,-0.7,-9
k12,"Kaiser, Al",25,R,1912,INA-min,,56,198,198,,53,6,3,0,,,,,,,,,0.268,0.268,0.328,0.596,,,,65,,,,,,,,,,,,,,
k12,"Kaiser, Al",25,R,1912,BSN,OF,4,14,13,0,0,0,0,0,0,0,0,,3,0,,,0,0,0,0,1,,0,0,,-100,0,,,-4,-0.4,-4,-0.4,0.394,0.497,-0.4,0,-3
k12,"Kaiser, Al",26,R,1913,IND-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k12,"Kaiser, Al",27,R,1914,IND,OF,59,216,187,22,43,10,0,1,16,38,17,,41,6,,,0.23,0.301,0.299,0.6,9,,2,56,,63,16.4705882353,,,-14,-1.5,-10,-1.2,0.474,0.491,-1.1,-0.3,-9
k17,"Kalahan, John",24,R,1903,PHA,C,1,5,5,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,,-100,0,,,-1,-0.1,-1,-0.1,0.379,0.499,-0.1,0,-1
k17,"Kalahan, John",25,R,1904,NAS-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k18,"Kalbfus, Charlie",19,R,1884,WHS,OF,1,5,5,1,1,0,0,0,,,0,,,,,,0.2,0.2,0.2,0.4,,,,1,,36,0.2,,,0,0,0,0,0.465,0.5,0,0,0
k20,"Kalin, Frank",20,R,1938,None-min,,81,338,338,,117,17,8,13,,,,,,,,,0.346,0.346,0.559,0.905,,,,189,,,,,,,,,,,,,,
k20,"Kalin, Frank",21,R,1939,PIT-min,,137,475,475,,150,26,9,24,,,,,,,,,0.316,0.316,0.56,0.876,,,,266,,,,,,,,,,,,,,
k20,"Kalin, Frank",22,R,1940,PIT-min,,135,510,510,,163,27,9,9,,,,,,,,,0.32,0.32,0.461,0.78,,,,235,,,,,,,,,,,,,,
k20,"Kalin, Frank",22,R,1940,PIT,OF,3,5,3,0,0,0,0,0,1,1,2,,0,0,,,0,0.4,0,0.4,0,,0,0,1,19,0,,,0,0,0,0,0.491,0.5,0,0,0
k20,"Kalin, Frank",23,R,1941,STP-min,,94,346,329,33,97,17,2,5,36,69,16,,33,6,,,0.295,0.328,0.404,0.732,1,,0,133,,,43.5623188406,,,,,,,,,,,
k20,"Kalin, Frank",24,R,1942,HOL-min,,127,485,450,62,137,22,11,13,79,141,31,,36,1,,,0.304,0.351,0.489,0.84,3,,1,220,,,76.8399168399,,,,,,,,,,,
