PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
r14,"Radcliff, Rip",25,L,1931,SHV-min,,155,596,596,,215,41,7,12,,,,,,,,,0.361,0.361,0.513,0.874,,,,306,,,,,,,,,,,,,,
r14,"Radcliff, Rip",26,L,1932,DAL-min,,148,578,578,,183,48,9,3,,,,,,,,,0.317,0.317,0.446,0.763,,,,258,,,,,,,,,,,,,,
r14,"Radcliff, Rip",27,L,1933,STP-min,,128,511,511,,186,36,10,6,,,,,,,,,0.364,0.364,0.509,0.873,,,,260,,,,,,,,,,,,,,
r14,"Radcliff, Rip",28,L,1934,LOU-min,,142,565,565,,189,27,19,5,,,,,,,,,0.335,0.335,0.476,0.811,,,,269,,,,,,,,,,,,,,
r14,"Radcliff, Rip",28,L,1934,CHW,OF,14,57,56,7,15,2,1,0,5,12,0,,2,1,0,1,0.268,0.268,0.339,0.607,1,,0,19,,54,5.0892857143,5.2366071429,,-3,-0.3,-1,-0.1,0.477,0.498,-0.2,0,-2
r14,"Radcliff, Rip",29,L,1935,CHW,LF,146,682,623,95,178,28,8,10,68,163,53,,21,4,4,0.5,0.286,0.346,0.404,0.75,2,,4,252,,92,86.1124260355,85.3600591716,,-22,-2.2,3,0.2,0.486,0.487,1,-1.5,11
r14,"Radcliff, Rip",30,L,1936,CHW,LF,138,664,618,120,207,31,7,8,82,202,44,,12,6,3,0.667,0.335,0.381,0.447,0.828,1,,2,276,,101,104.6465256798,104.6320241692,,-12,-1.1,10,1,0.492,0.493,1.9,-1.4,20
r14,"Radcliff, Rip",31,L,1937,CHW,LF,144,643,584,105,190,38,10,4,79,184,53,,25,6,1,0.857,0.325,0.383,0.445,0.829,4,,2,260,,108,99.1836734694,100.0291993721,,7,0.6,30,2.8,0.504,0.504,2.6,-0.4,28
r14,"Radcliff, Rip",32,L,1938,CHW,LF,129,545,503,64,166,23,6,5,81,145,36,,17,5,7,0.417,0.33,0.376,0.429,0.805,5,,1,216,,99,80.9499072356,79.1396103896,,-5,-0.4,15,1.4,0.497,0.497,1.2,-0.3,13
r14,"Radcliff, Rip",33,L,1939,CHW,OF,113,436,397,49,105,25,2,2,53,102,26,,21,6,4,0.6,0.264,0.313,0.353,0.666,10,,2,140,5,68,43.3569739953,43.0238770686,,-28,-2.7,-13,-1.2,0.477,0.484,-0.8,-0.8,-9
r14,"Radcliff, Rip",34,L,1940,SLB,OF,150,636,584,83,200,33,9,7,81,164,47,,20,6,4,0.6,0.342,0.392,0.466,0.858,4,,1,272,11,120,106.4722662441,106.018858954,,11,1.1,33,3.1,0.507,0.506,3.3,-0.8,35
r14,"Radcliff, Rip",35,L,1941,DET,LF,115,485,450,59,140,16,7,5,54,113,29,,14,5,5,0.5,0.311,0.354,0.411,0.765,5,,1,185,8,95,65.2713987474,64.2818371608,,-9,-0.9,4,0.2,0.491,0.495,0.3,-0.5,4
r14,"Radcliff, Rip",36,L,1942,DET,OF,62,155,144,13,36,5,0,1,20,33,9,,6,0,1,0,0.25,0.294,0.306,0.6,2,,0,44,3,63,12.9411764706,12.6535947712,,-7,-0.8,-3,-0.4,0.487,0.495,-0.5,0,-4
r14,"Radcliff, Rip",37,L,1943,DET,OF,70,133,115,3,30,4,0,0,10,13,13,,3,1,1,0.5,0.261,0.341,0.296,0.637,4,,1,34,3,82,11.421875,11.33671875,,-3,-0.4,1,0,0.495,0.498,0,-0.1,1
r14,"Radcliff, Rip",40,L,1946,WSH-min,,114,373,373,,113,20,1,0,,,,,,,,,0.303,0.303,0.362,0.665,,,,135,,,,,,,,,,,,,,
r14,"Radcliff, Rip",42,L,1948,GBO-min,,136,508,508,,155,36,3,10,,,,,,,,,0.305,0.305,0.447,0.752,,,,227,,,,,,,,,,,,,,
r16,"Rader, Dave",18,L,1967,SFG-min,,58,206,183,27,55,10,3,0,21,48,22,,13,5,0,1,0.301,0.376,0.388,0.764,1,0,0,71,,,26.6682926829,27.7012195122,,,,,,,,,,
r16,"Rader, Dave",19,L,1968,SFG-min,,76,302,269,34,66,9,2,5,19,53,24,,37,3,0,1,0.245,0.321,0.349,0.671,0,2,7,94,,,28.8737201365,29.3805460751,,,,,,,,,,
r16,"Rader, Dave",20,L,1969,SFG-min,,78,261,236,27,48,13,0,6,31,58,18,,14,0,0,,0.203,0.274,0.335,0.609,2,0,5,79,,,20.5275590551,20.5275590551,,,,,,,,,,
r16,"Rader, Dave",21,L,1970,SFG-min,,92,328,282,44,68,9,4,10,41,85,45,8,38,0,0,,0.241,0.345,0.408,0.752,0,1,,115,,,39.7400611621,39.7400611621,,,,,,,,,,
r16,"Rader, Dave",22,L,1971,SFG-min,,85,319,293,41,92,20,5,8,47,88,19,,12,1,1,0.5,0.314,0.356,0.498,0.854,4,2,1,146,,,51.9423076923,51.6682692308,,,,,,,,,,
r16,"Rader, Dave",22,L,1971,SFG,C,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0.493,0.5,0,0,0
r16,"Rader, Dave",23,L,1972,SFG-min,,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,
r16,"Rader, Dave",23,L,1972,SFG,C,133,494,459,44,119,14,1,6,41,85,29,4,31,1,2,0.333,0.259,0.306,0.333,0.64,1,2,3,153,12,81,46.4016393443,45.9391393443,21958.3642105263,-1,0,15,1.6,0.499,0.499,1.5,1,15
r16,"Rader, Dave",24,L,1973,SFG,C,148,540,462,59,106,15,4,9,41,100,63,23,22,0,0,,0.229,0.326,0.338,0.664,4,5,6,156,17,82,50.2171428571,50.2171428571,26537.6886666667,-16,-1.9,2,-0.2,0.488,0.489,0.6,0.1,9
r16,"Rader, Dave",25,L,1974,SFG,C,113,361,323,26,94,16,2,1,26,52,31,9,21,1,0,1,0.291,0.351,0.362,0.713,5,2,0,117,9,96,41.313559322,41.5077683616,14235.5315235457,-1,-0.1,11,1,0.499,0.499,1.4,0.2,15
r16,"Rader, Dave",26,L,1975,SFG,C,98,328,292,39,85,15,0,5,31,70,32,12,30,1,0,1,0.291,0.36,0.394,0.754,0,3,1,115,9,106,41.5277777778,41.7263888889,13130.1463414634,-1,-0.2,10,0.9,0.499,0.499,1.3,0.1,13
r16,"Rader, Dave",27,L,1976,SFG,C,88,284,255,25,67,15,0,1,22,47,27,8,21,2,0,1,0.263,0.332,0.333,0.665,1,1,0,85,12,88,28.3333333333,28.7,7375.0873239437,-8,-0.9,1,-0.1,0.49,0.494,0.7,-0.3,8
r16,"Rader, Dave",28,L,1977,STL,C,66,129,114,15,30,7,1,1,16,31,9,0,10,1,0,1,0.263,0.31,0.368,0.678,3,3,0,42,0,82,13.3170731707,13.4914634146,1729.2882170543,-2,-0.2,3,0.2,0.497,0.499,0.4,0,5
r16,"Rader, Dave",29,L,1978,CHC,C,116,348,305,29,62,13,3,3,36,65,34,7,26,1,1,0.5,0.203,0.281,0.295,0.576,3,5,1,90,13,55,25.4867256637,25.3753687316,8074.2534482759,-12,-1.4,-1,-0.3,0.488,0.491,-0.8,1.1,-5
r16,"Rader, Dave",30,L,1979,PHI,C,31,62,54,3,11,1,1,1,5,8,6,0,7,0,0,,0.204,0.283,0.315,0.598,2,0,0,17,3,62,4.8166666667,4.8166666667,259.8567741935,-3,-0.3,-1,-0.1,0.491,0.498,-0.1,0.1,-1
r16,"Rader, Dave",31,L,1980,BOS,C,50,152,137,14,45,11,0,3,17,31,14,1,12,1,1,0.5,0.328,0.388,0.474,0.863,0,1,0,65,4,130,25.3973509934,25.1781456954,3692.5268421053,6,0.6,11,1.1,0.512,0.504,1.1,0.2,11
r17,"Rader, Don",19,L,1913,None-min,,103,397,397,,118,12,10,3,,,,,,,,,0.297,0.297,0.401,0.698,,,,159,,,,,,,,,,,,,,
r17,"Rader, Don",19,L,1913,CHW,3B,4,3,3,1,1,1,0,0,0,1,0,,0,0,,,0.333,0.333,0.667,1,0,,0,2,,192,0.6666666667,,,0,0,0,0,0.508,0.5,0,0,0
r17,"Rader, Don",20,L,1914,None-min,,101,345,345,,98,0,1,0,,,,,,,,,0.284,0.284,0.035,0.319,,,,12,,,,,,,,,,,,,,
r17,"Rader, Don",21,L,1915,None-min,,105,404,404,,104,7,5,0,,,,,,,,,0.257,0.257,0.3,0.557,,,,121,,,,,,,,,,,,,,
r17,"Rader, Don",22,L,1916,None-min,,132,419,419,,110,19,3,0,,,,,,,,,0.263,0.263,0.322,0.585,,,,135,,,,,,,,,,,,,,
r17,"Rader, Don",23,L,1917,STJ-min,,144,511,511,,151,26,8,4,,,,,,,,,0.295,0.295,0.401,0.697,,,,205,,,,,,,,,,,,,,
r17,"Rader, Don",25,L,1919,POR-min,,127,417,417,,104,12,7,1,,,,,,,,,0.249,0.249,0.319,0.568,,,,133,,,,,,,,,,,,,,
