PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
b8,"Backman, Wally",29,B,1989,MIN,2B,87,337,299,33,69,9,2,1,26,59,32,0,45,1,1,0.5,0.231,0.306,0.284,0.591,4,1,1,85,4,63,25.9365558912,25.8459214502,9077.2692581602,-18,-1.8,-6,-0.7,0.478,0.488,0.1,-0.5,2
b8,"Backman, Wally",30,B,1990,PIT,3B,104,361,315,62,92,21,3,2,28,90,42,1,53,6,3,0.667,0.292,0.374,0.397,0.771,0,3,1,125,5,117,46.918767507,47.0792717087,17261.8529639889,3,0.3,14,1.5,0.503,0.502,2.2,-0.6,22
b8,"Backman, Wally",31,B,1991,PHI,2B,94,220,185,20,45,12,0,0,15,35,30,0,30,3,2,0.6,0.243,0.344,0.308,0.652,2,3,0,57,2,86,19.8837209302,19.9137209302,4600.8189090909,-2,-0.2,6,0.5,0.498,0.499,0.5,0.1,6
b8,"Backman, Wally",32,B,1992,PHI,2B,42,55,48,6,13,1,0,0,6,12,6,1,9,1,0,1,0.271,0.352,0.292,0.644,1,0,0,14,3,85,4.9259259259,5.1194444444,244.8189090909,1,0.1,2,0.2,0.502,0.5,0.1,0.2,1
b8,"Backman, Wally",33,B,1993,SEA,3B,10,31,29,2,4,0,0,0,0,2,1,0,8,0,0,,0.138,0.167,0.138,0.305,1,0,0,4,0,-17,0.6666666667,0.6666666667,21.3167741935,-1,-0.1,0,0,0.488,0.499,-0.1,0.1,-1
b9,"Bacon, Eddie",20,U,1915,None-min,,55,186,186,,49,,,,,,,,,,,,0.263,0.263,,,,,,,,,,,,,,,,,,,,
b9,"Bacon, Eddie",21,U,1916,None-min,,17,45,45,,9,0,0,0,,,,,,,,,0.2,0.2,0.067,0.267,,,,3,,,,,,,,,,,,,,
b9,"Bacon, Eddie",22,U,1917,CNG-min,,81,228,228,,62,9,3,6,,,,,,,,,0.272,0.272,0.417,0.689,,,,95,,,,,,,,,,,,,,
b9,"Bacon, Eddie",22,U,1917,PHA,P,4,6,6,1,3,1,0,0,2,3,0,,0,0,,,0.5,0.5,0.667,1.167,0,,0,4,,260,2,,,1,0.2,1,0.2,0.541,0.501,0.2,0,1
b9,"Bacon, Eddie",23,U,1918,WAC-min,,5,11,11,,1,0,0,0,,,,,,,,,0.091,0.091,0.091,0.182,,,,1,,,,,,,,,,,,,,
