PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
y96,"Youngblood, Joel",31,R,1983,SFG,2B,124,415,373,59,109,20,3,17,53,112,33,4,59,7,4,0.636,0.292,0.356,0.499,0.855,2,2,5,186,11,138,65.0541871921,64.5302955665,25718.8937831325,6,0.6,21,2,0.506,0.504,3.3,-1.2,33
y96,"Youngblood, Joel",32,R,1984,SFG,3B,134,524,469,50,119,17,1,10,51,101,48,1,86,5,6,0.455,0.254,0.328,0.358,0.686,3,0,4,168,8,96,54.2669245648,53.1735976789,28457.8279389313,-18,-2,-1,-0.2,0.485,0.488,2.1,-2.3,21
y96,"Youngblood, Joel",33,R,1985,SFG,RF,95,263,230,24,62,6,0,4,24,48,30,1,37,3,2,0.6,0.27,0.355,0.348,0.703,1,1,1,80,6,102,28.3076923077,28.2634615385,7463.0098859316,0,0,9,0.9,0.5,0.5,0.9,-0.2,9
y96,"Youngblood, Joel",34,R,1986,SFG,LF,97,208,184,20,47,12,0,5,28,48,18,0,34,1,1,0.5,0.255,0.32,0.402,0.723,2,3,1,74,2,103,23.8118811881,23.6198019802,4973.235,0,0,8,0.8,0.501,0.5,0.6,-0.1,6
y96,"Youngblood, Joel",35,R,1987,SFG,RF,69,98,91,9,23,3,0,3,11,20,5,0,13,1,1,0.5,0.253,0.296,0.385,0.681,0,1,1,35,3,82,10.2083333333,9.9984375,914.0106122449,-3,-0.4,0,0,0.495,0.498,-0.1,-0.1,0
y96,"Youngblood, Joel",36,R,1988,SFG,LF,83,139,123,12,31,4,0,0,16,28,10,0,17,1,1,0.5,0.252,0.307,0.285,0.591,2,3,1,35,5,74,10.7894736842,10.6917293233,1362.9824460432,-3,-0.3,2,0.2,0.496,0.498,0,0,0
y96,"Youngblood, Joel",37,R,1989,CIN,LF,76,134,118,13,25,5,0,3,13,26,13,2,21,0,1,0,0.212,0.299,0.331,0.629,0,1,2,39,6,77,11.3129770992,11.0152671756,1398.543880597,-10,-1.1,-5,-0.7,0.486,0.493,-0.3,-0.6,-1
y97,"Youngman, Henry",22,U,1888,DNV-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y97,"Youngman, Henry",24,U,1890,MKE-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y97,"Youngman, Henry",24,U,1890,PIT,3B,13,53,47,6,6,1,1,0,4,10,6,,9,1,,,0.128,0.226,0.191,0.418,,,0,9,,28,2.0377358491,,,-8,-0.8,-6,-0.6,0.444,0.496,-0.2,-0.3,-2
y97,"Youngman, Henry",25,U,1891,OLD-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y97,"Youngman, Henry",27,U,1893,ATO-min,,97,427,427,94,123,20,7,0,,,,,,32,,,0.288,0.288,0.368,0.656,,,,157,,,,,,,,,,,,,,
y97,"Youngman, Henry",28,U,1894,None-min,,70,312,312,48,77,8,4,1,,,,,,,,,0.247,0.247,0.308,0.554,,,,96,,,,,,,,,,,,,,
y97,"Youngman, Henry",29,U,1895,TTV-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y97,"Youngman, Henry",31,U,1897,DAY-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y97,"Youngman, Henry",32,U,1898,DAY-min,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y97,"Youngman, Henry",33,U,1899,DAY-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y98,"Youngs, Ross",17,L,1914,AUS-min,,17,55,55,,8,1,0,0,,,,,,,,,0.145,0.145,0.164,0.309,,,,9,,,,,,,,,,,,,,
y98,"Youngs, Ross",18,L,1915,None-min,,84,345,345,,92,17,1,0,,,,,,,,,0.267,0.267,0.322,0.588,,,,111,,,,,,,,,,,,,,
y98,"Youngs, Ross",19,L,1916,SHR-min,,137,539,539,,195,30,6,4,,,,,,,,,0.362,0.362,0.462,0.824,,,,249,,,,,,,,,,,,,,
y98,"Youngs, Ross",20,L,1917,ROC-min,,140,506,506,,180,18,5,1,,,,,,,,,0.356,0.356,0.417,0.773,,,,211,,,,,,,,,,,,,,
y98,"Youngs, Ross",20,L,1917,NYG,OF,7,29,26,5,9,2,3,0,1,6,1,,5,1,,,0.346,0.37,0.654,1.024,2,,0,17,,215,6.2962962963,,,3,0.3,4,0.4,0.549,0.502,0.4,0,4
y98,"Youngs, Ross",21,L,1918,NYG,OF,121,532,474,70,143,16,8,1,25,95,44,,49,10,,,0.302,0.368,0.376,0.744,8,,6,178,,128,64.2586872587,,,12,1.4,28,3,0.512,0.509,2.5,-0.3,24
y98,"Youngs, Ross",22,L,1919,NYG,OF,130,561,489,73,152,31,7,2,43,116,51,,47,24,,,0.311,0.384,0.415,0.799,13,,7,203,,140,76.312962963,,,19,2.2,36,3.9,0.518,0.514,3.7,-0.5,33
